ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics
146439,BattleLore (Second Edition),2013,2,2,90,14,5645,7,,,,
224783,Vindication,2018,2,5,150,14,4583,7,,,,
13122,Antiquity,2004,2,4,180,14,3833,7,,,,
312484,Lost Ruins of Arnak,2020,1,4,120,12,2819,8,,,,
232405,Western Legends,2018,2,6,90,14,6615,7,,,,
139976,Cthulhu Wars,2015,2,4,120,14,4585,7,,,,
2655,Hive,2000,2,2,20,9,29596,7,,,,
160477,Onitama,2014,2,2,20,8,15161,7,,,,
206718,Ethnos,2017,2,6,60,14,9741,7,,,,
101721,Mage Wars Arena,2012,2,2,90,13,7379,7,,,,
209685,Century: Spice Road,2017,2,5,45,8,18546,7,,,,
241451,Aeon's End: Legacy,2019,1,4,90,14,2758,8,,,,
172818,Above and Below,2015,2,4,90,13,12875,7,,,,
187617,Nemo's War (Second Edition),2017,1,4,120,13,3425,7,,,,
40692,Small World,2009,2,5,80,8,61747,7,,,,
140934,Arboretum,2015,2,4,30,8,13125,7,,,,
181304,Mysterium,2015,2,7,42,10,32087,7,,,,
45315,Dungeon Lords,2009,2,4,90,12,12875,7,,,,
249259,War Chest,2018,2,4,30,14,3869,7,,,,
269207,The Taverns of Tiefenthal,2019,2,4,60,12,6323,7,,,,
165722,KLASK,2014,2,2,10,8,5667,7,,,,
46213,Telestrations,2009,4,8,30,12,12846,7,,,,
136888,Bruges,2013,2,4,60,10,10275,7,,,,
77130,Sid Meier's Civilization: The Board Game,2010,2,4,240,13,14425,7,,,,
271896,Star Wars: Outer Rim,2019,1,4,180,14,5686,7,,,,
59959,Letters from Whitechapel,2011,2,6,60,14,13721,7,,,,
54,Tikal,1999,2,4,90,10,17918,7,,,,
227789,Heaven & Ale,2017,2,4,90,12,6424,7,,,,
163967,Tiny Epic Galaxies,2015,1,5,45,14,15720,7,,,,
25292,Merchants & Marauders,2010,2,4,180,13,12724,7,,,,
246784,Cryptid,2018,3,5,50,10,7503,7,,,,
41114,The Resistance,2009,5,10,30,13,35929,7,,,,
143693,Glass Road,2013,1,4,80,13,9027,7,,,,
176920,Mission: Red Planet (Second Edition),2015,2,6,90,14,8893,7,,,,
37046,Ghost Stories,2008,1,4,60,12,19412,7,,,,
5,Acquire,1964,2,6,90,12,18214,7,,,,
163745,Star Wars: Armada,2015,2,2,120,14,4589,7,,,,
39856,Dixit,2008,3,6,30,8,50684,7,,,,
296151,Viscounts of the West Kingdom,2020,1,4,90,12,2757,8,,,,
119890,Agricola: All Creatures Big and Small,2012,2,2,30,13,12323,7,,,,
70919,Takenoko,2011,2,4,45,8,35214,7,,,,
17392,Here I Stand,2006,2,6,360,12,3568,7,,,,
21241,Neuroshima Hex! 3.0,2006,1,4,30,13,13294,7,,,,
129622,Love Letter,2012,2,4,20,10,56013,7,,,,
283355,Dune,2019,2,6,120,14,3181,8,,,,
182134,Evolution: Climate,2016,2,6,60,12,6082,7,,,,
2653,Survive: Escape from Atlantis!,1982,2,4,60,8,20470,7,,,,
234487,Altiplano,2017,2,5,120,12,6908,7,,,,
1,Die Macher,1986,3,5,240,14,5228,7,,,,
199042,Harry Potter: Hogwarts Battle,2016,2,4,60,11,11960,7,,,,
219513,Bärenpark,2017,2,4,45,8,12028,7,,,,
25554,Notre Dame,2007,2,5,75,10,12243,7,,,,
8217,San Juan,2004,2,4,60,10,22239,7,,,,
192458,51st State: Master Set,2016,1,4,90,14,5156,7,,,,
